UniID,Institution_Name,City,Year,Student_to_faculty_ratio,Full_Time_Staff_per_Student,Average_salary_of_full_time_professors,Percent_of_undergraduate_enrollment_Age_18_to_24,Percent_of_full_time_first_time_undergraduates_awarded_any_financial_aid,Total_price_for_in_state_students_living_on_campus ,Percent_of_undergraduate_students_enrolled_exclusively_in_distance_education_courses,Percent_admitted ,Published_in_state_tuition_and_fees,Books_and_supplies,Undergraduate_application_fee,SAT_Math_50th_percentile_score,SAT_Reading_and_Writing_50th_percentile_score,Full_time_retention_rate
222831,Angelo State University,San Angelo,22-23,18,0.0816,85083,55,97,23466,7,79,8186,1200,40,505,520,73
226091,Lamar University,Beaumont,22-23,20,0.0752,103675,74.57,95,24662,26,84,8690,1200,25,460,470,59
226833,Midwestern State University,Wichita Falls,22-23,16,0.1165,94423,74.57,100,24755,22,92,10233,600,40,536.17,543.96,63
227526,Prairie View A & M University,Prairie View,22-23,16,0.1303,112082,93,98,26855,4,76,11299,1447,40,470,485,73
227881,Sam Houston State University,Huntsville,22-23,20,0.1070,100620,83,87,25114,19,85,8960,1380,50,515,535,74
228431,Stephen F Austin State University,Nacogdoches,22-23,17,0.1209,87996,79,87,25118,19,90,10600,1202,45,525,540,73
228501,Sul Ross State University,Alpine,22-23,12,0.1766,77960,69,88,24053,30,97,7649,1303,50,480,485,49
228529,Tarleton State University,Stephenville,22-23,17,0.0852,98895,82,93,22981,21,87,7848,1248,50,520,530,70
226152,Texas A & M International University,Laredo,22-23,19,0.0899,107800,74.57,97,21492,8,48,7846,1420,0,490,520,79
228723,Texas A & M University-College Station,College Station,22-23,18,0.1449,163721,97,74,32253,1,63,13239,1000,75,645,625,95
224554,Texas A & M University-Commerce,Commerce,22-23,20,0.0898,93703,62,100,24370,32,86,10026,1556,0,500,531.5,65
224147,Texas A & M University-Corpus Christi,Corpus Christi,22-23,18,0.1223,108156,85,89,24926,8,88,9748,1152,40,540,551,63
229063,Texas Southern University,Houston,22-23,18,0.1199,99988,84,99,25459,6,97,9173,1654,42,445,465,55
